REGION,TECHNOLOGY,RUN,VALUE
E06000002,Heat interface unit,nz-2050_hp-01,5171.725352589768
E06000002,Gas boiler,nz-2040_hp-00,14069.286666182124
E06000002,Gas boiler,nz-2040_hp-01,13491.053715521057
E06000002,Gas boiler,nz-2045_hp-00,13817.174138071005
E06000002,Gas boiler,nz-2045_hp-01,11034.769359223674
E06000002,Gas boiler,nz-2050_hp-00,21915.172562410666
E06000002,Gas boiler,nz-2050_hp-01,14473.913739833766
E06000002,Oil boiler,nz-2040_hp-00,43.00028376206006
E06000002,Oil boiler,nz-2040_hp-01,43.13318971134883
E06000002,Oil boiler,nz-2045_hp-00,42.56823545848041
E06000002,Oil boiler,nz-2045_hp-01,40.76557168498361
E06000002,Oil boiler,nz-2050_hp-00,1673.8204109780402
E06000002,Oil boiler,nz-2050_hp-01,39.62122795401737
E06000003,AAHP,nz-2040_hp-00,65.00689655878416
E06000003,AAHP,nz-2040_hp-01,76.9173249451067
E06000003,AAHP,nz-2045_hp-00,110.46896109048495
E06000003,AAHP,nz-2045_hp-01,71.53542725745162
E06000003,AAHP,nz-2050_hp-00,1.1472992845249558e-06
E06000003,AAHP,nz-2050_hp-01,2.325727539104833e-05
E06000003,Air-source HP,nz-2040_hp-00,8395.932102839102
E06000003,Air-source HP,nz-2040_hp-01,8614.459527947409
E06000003,Air-source HP,nz-2045_hp-00,6689.423044240582
E06000003,Air-source HP,nz-2045_hp-01,9748.328492976809
E06000003,Air-source HP,nz-2050_hp-00,12.790113413089857
E06000003,Air-source HP,nz-2050_hp-01,277.7291783679419
E06000003,AWHP,nz-2040_hp-00,3948.399268528543
E06000003,AWHP,nz-2040_hp-01,2802.9701230137925
E06000003,AWHP,nz-2045_hp-00,3399.2169163620124
E06000003,AWHP,nz-2045_hp-01,3446.744562249779
E06000003,AWHP,nz-2050_hp-00,121.72093874957383
E06000003,AWHP,nz-2050_hp-01,172.62924493398847
E06000003,Building eff. measures (high),nz-2040_hp-00,2.1267610407563154e-05
E06000003,Building eff. measures (high),nz-2040_hp-01,1.0254218719917271e-05
E06000003,Building eff. measures (high),nz-2045_hp-00,1.3124687692233832e-05
E06000003,Building eff. measures (high),nz-2045_hp-01,9.585521963436629e-06
E06000003,Building eff. measures (high),nz-2050_hp-00,6.589235927866494e-07
E06000003,Building eff. measures (high),nz-2050_hp-01,1.8822017031865444e-05
E06000003,Building eff. measures (low),nz-2040_hp-00,280.92308484257586
E06000003,Building eff. measures (low),nz-2040_hp-01,222.7140824846019
E06000003,Building eff. measures (low),nz-2045_hp-00,141.54264216397155
E06000003,Building eff. measures (low),nz-2045_hp-01,467.94081115144456
E06000003,Building eff. measures (low),nz-2050_hp-00,30.215932797200402
E06000003,Building eff. measures (low),nz-2050_hp-01,445.39728855773467
E06000003,Building eff. measures (mid),nz-2040_hp-00,3.254488406015586e-05
E06000003,Building eff. measures (mid),nz-2040_hp-01,1.6696661858354734e-05
E06000003,Building eff. measures (mid),nz-2045_hp-00,2.0626868350169085e-05
E06000003,Building eff. measures (mid),nz-2045_hp-01,1.5085889983160199e-05
E06000003,Building eff. measures (mid),nz-2050_hp-00,1.0106599607924988e-06
E06000003,Building eff. measures (mid),nz-2050_hp-01,3.0110753476758787e-05
E06000003,BEST,nz-2040_hp-00,868.486615287695
E06000003,BEST,nz-2040_hp-01,866.4260505483873
E06000003,BEST,nz-2045_hp-00,866.4260119351054
E06000003,BEST,nz-2045_hp-01,868.4647533669337
E06000003,BEST,nz-2050_hp-00,868.4405066984328
E06000003,BEST,nz-2050_hp-01,866.4260468894308
E06000003,Biomass boiler,nz-2040_hp-00,37.51296908362945
E06000003,Biomass boiler,nz-2040_hp-01,37.63507314919076
E06000003,Biomass boiler,nz-2045_hp-00,38.535378960356866
E06000003,Biomass boiler,nz-2045_hp-01,45.56447763272947
E06000003,Biomass boiler,nz-2050_hp-00,34.074153627400975
E06000003,Biomass boiler,nz-2050_hp-01,35.690589254960955
E06000003,Electric resistance heater,nz-2040_hp-00,1241.069589360641
E06000003,Electric resistance heater,nz-2040_hp-01,590.1812672951785
E06000003,Electric resistance heater,nz-2045_hp-00,663.0516452258785
E06000003,Electric resistance heater,nz-2045_hp-01,692.4939300368212
E06000003,Electric resistance heater,nz-2050_hp-00,617.1857536560577
E06000003,Electric resistance heater,nz-2050_hp-01,6472.797182107268
E06000003,Electric storage heater,nz-2040_hp-00,141.7457266460528
E06000003,Electric storage heater,nz-2040_hp-01,138.69067703957776
E06000003,Electric storage heater,nz-2045_hp-00,139.16576951358877
E06000003,Electric storage heater,nz-2045_hp-01,156.1306364127504
E06000003,Electric storage heater,nz-2050_hp-00,151.549974071659
E06000003,Electric storage heater,nz-2050_hp-01,131.8415791992942
E06000003,Ground-source HP,nz-2040_hp-00,1518.7711479515128
E06000003,Ground-source HP,nz-2040_hp-01,226.36593217410186
E06000003,Ground-source HP,nz-2045_hp-00,426.88160653362473
E06000003,Ground-source HP,nz-2045_hp-01,81.14431361996628
E06000003,Ground-source HP,nz-2050_hp-00,4.330511925196398
E06000003,Ground-source HP,nz-2050_hp-01,4.330659494444809
E06000003,H2 boiler,nz-2040_hp-00,52.17557644874843
E06000003,H2 boiler,nz-2040_hp-01,365.11708385964016
E06000003,H2 boiler,nz-2045_hp-00,0.8092028460167854
E06000003,H2 boiler,nz-2045_hp-01,0.9401268224820811
E06000003,H2 boiler,nz-2050_hp-00,0.00018985643662833363
E06000003,H2 boiler,nz-2050_hp-01,0.00041118952973707366
E06000003,Heat interface unit,nz-2040_hp-00,239.01834203263758
E06000003,Heat interface unit,nz-2040_hp-01,3859.419369918478
E06000003,Heat interface unit,nz-2045_hp-00,4769.345485925815
E06000003,Heat interface unit,nz-2045_hp-01,7646.535362636325
E06000003,Heat interface unit,nz-2050_hp-00,4472.737150141938
E06000003,Heat interface unit,nz-2050_hp-01,8543.149906363346
