RUN,REGION,YEAR,VALUE
nz-2050_hp-01,E07000181,2023,771.8995275808556
nz-2050_hp-01,E07000181,2025,660.1013073846539
nz-2050_hp-01,E07000181,2030,655.4666498089767
nz-2050_hp-01,E07000181,2035,598.9713627096486
nz-2050_hp-01,E07000181,2040,491.31574030136545
nz-2050_hp-01,E07000181,2045,412.9764833039495
nz-2050_hp-01,E07000181,2050,439.66044338167507
nz-2050_hp-01,E07000181,2055,436.04627207341304
nz-2050_hp-01,E07000181,2060,727.0131099977468
nz-2050_hp-01,E07000192,2015,425.7768991330414
nz-2050_hp-01,E07000192,2021,554.3873987396412
nz-2050_hp-01,E07000192,2023,478.2717238679239
nz-2050_hp-01,E07000192,2025,431.94546344192054
nz-2050_hp-01,E07000192,2030,428.51265903171975
nz-2050_hp-01,E07000192,2035,426.853447479369
nz-2050_hp-01,E07000192,2040,421.9458859926973
nz-2050_hp-01,E07000192,2045,404.2473314918297
nz-2050_hp-01,E07000192,2050,452.1877133458112
nz-2050_hp-01,E07000192,2055,454.83030329652485
nz-2050_hp-01,E07000192,2060,713.1204322367563
nz-2050_hp-01,E07000193,2015,525.595172484758
nz-2050_hp-01,E07000193,2021,686.1101290517319
nz-2050_hp-01,E07000193,2023,614.3422722409451
nz-2050_hp-01,E07000193,2025,539.4801199603629
nz-2050_hp-01,E07000193,2030,539.1723943236213
nz-2050_hp-01,E07000193,2035,530.0342796099004
nz-2050_hp-01,E07000193,2040,495.8491705779597
nz-2050_hp-01,E07000193,2045,448.34857330993475
nz-2050_hp-01,E07000193,2050,506.2162765906808
nz-2050_hp-01,E07000193,2055,475.64210695025025
nz-2050_hp-01,E07000193,2060,749.5367298579966
nz-2050_hp-01,E07000194,2015,533.3697167324459
nz-2050_hp-01,E07000194,2021,698.9838057065782
nz-2050_hp-01,E07000194,2023,627.7842889846139
nz-2050_hp-01,E07000194,2025,557.0463553141021
nz-2050_hp-01,E07000194,2030,566.3799194648609
nz-2050_hp-01,E07000194,2035,558.5055227077195
nz-2050_hp-01,E07000194,2040,519.8778603526822
nz-2050_hp-01,E07000194,2045,453.56565932950446
nz-2050_hp-01,E07000194,2050,509.9657809446542
nz-2050_hp-01,E07000194,2055,471.04632034057863
nz-2050_hp-01,E07000194,2060,769.8086891499249
nz-2050_hp-01,E07000195,2015,529.1505095072616
nz-2050_hp-01,E07000195,2021,698.7449729092735
nz-2050_hp-01,E07000195,2023,617.429553085482
nz-2050_hp-01,E07000195,2025,550.3261789863927
nz-2050_hp-01,E07000195,2030,554.7964958200121
nz-2050_hp-01,E07000195,2035,552.2389849111773
nz-2050_hp-01,E07000195,2040,530.9992374469942
nz-2050_hp-01,E07000195,2045,490.95315745815543
nz-2050_hp-01,E07000195,2050,525.5780679388371
nz-2050_hp-01,E07000195,2055,510.49015345754873
nz-2050_hp-01,E07000195,2060,798.6080644411481
nz-2050_hp-01,E07000196,2015,597.6638015531883
nz-2050_hp-01,E07000196,2021,779.8248449873428
nz-2050_hp-01,E07000196,2023,707.6503090868983
nz-2050_hp-01,E07000196,2025,624.5058741572016
nz-2050_hp-01,E07000196,2030,637.1533753392916
nz-2050_hp-01,E07000196,2035,622.7962739679224
nz-2050_hp-01,E07000196,2040,571.2561171064443
nz-2050_hp-01,E07000196,2045,475.19823873600956
nz-2050_hp-01,E07000196,2050,518.6570595383483
nz-2050_hp-01,E07000196,2055,486.88924368056126
nz-2050_hp-01,E07000196,2060,752.8147757967312
nz-2050_hp-01,E07000197,2015,568.2400814992113
nz-2050_hp-01,E07000197,2021,740.2324914744976
nz-2050_hp-01,E07000197,2023,666.6573556146934
nz-2050_hp-01,E07000197,2025,585.9171205062189
nz-2050_hp-01,E07000197,2030,589.2677499978266
nz-2050_hp-01,E07000197,2035,577.5367899277697
nz-2050_hp-01,E07000197,2040,530.8667749755244
nz-2050_hp-01,E07000197,2045,464.3170315098582
nz-2050_hp-01,E07000197,2050,517.4268253673762
nz-2050_hp-01,E07000197,2055,480.86135171750686
nz-2050_hp-01,E07000197,2060,804.5410014665813
nz-2050_hp-01,E07000198,2015,675.0201161494272
nz-2050_hp-01,E07000198,2021,877.5691534602826
nz-2050_hp-01,E07000198,2023,800.2630588828665
nz-2050_hp-01,E07000198,2025,674.8332829921123
nz-2050_hp-01,E07000198,2030,660.1313422721595
nz-2050_hp-01,E07000198,2035,604.1529337952238
nz-2050_hp-01,E07000198,2040,511.3946283411984
nz-2050_hp-01,E07000198,2045,424.2013157417968
nz-2050_hp-01,E07000198,2050,455.78839818402093
nz-2050_hp-01,E07000198,2055,439.59234465432195
nz-2050_hp-01,E07000198,2060,794.9772391618019
nz-2050_hp-01,E07000199,2015,416.0038301918016
nz-2050_hp-01,E07000199,2021,546.6629715927469
nz-2050_hp-01,E07000199,2023,485.3864779776881
nz-2050_hp-01,E07000199,2025,431.8172524437084
nz-2050_hp-01,E07000199,2030,431.35427394041284
nz-2050_hp-01,E07000199,2035,433.99205757293635
nz-2050_hp-01,E07000199,2040,430.21531623239656
nz-2050_hp-01,E07000199,2045,409.8957441806272
nz-2050_hp-01,E07000199,2050,477.6667518245112
nz-2050_hp-01,E07000199,2055,457.0937142942264
nz-2050_hp-01,E07000199,2060,675.7153520783637
nz-2050_hp-01,E07000200,2015,566.9654912233119
nz-2050_hp-01,E07000200,2021,741.3214405563431
nz-2050_hp-01,E07000200,2023,683.1237112381241
nz-2050_hp-01,E07000200,2025,591.673254847892
nz-2050_hp-01,E07000200,2030,596.9583903292141
nz-2050_hp-01,E07000200,2035,565.2272191186386
nz-2050_hp-01,E07000200,2040,500.7620891464594
nz-2050_hp-01,E07000200,2045,441.18767584133434
nz-2050_hp-01,E07000200,2050,461.5274568601558
nz-2050_hp-01,E07000200,2055,443.0244169509739
nz-2050_hp-01,E07000200,2060,754.5501967808409
nz-2050_hp-01,E07000202,2015,383.3295785896303
nz-2050_hp-01,E07000202,2021,506.8765911375445
nz-2050_hp-01,E07000202,2023,446.37648536503184
nz-2050_hp-01,E07000202,2025,398.7203901961113
nz-2050_hp-01,E07000202,2030,398.00280078375374
nz-2050_hp-01,E07000202,2035,399.49696599865945
nz-2050_hp-01,E07000202,2040,398.35276993519705
nz-2050_hp-01,E07000202,2045,387.5828523179678
nz-2050_hp-01,E07000202,2050,425.136035375647
nz-2050_hp-01,E07000202,2055,423.56633314117994
nz-2050_hp-01,E07000202,2060,634.5926777977148
nz-2050_hp-01,E07000203,2015,568.2042088868842
nz-2050_hp-01,E07000203,2021,745.6386546625737
nz-2050_hp-01,E07000203,2023,703.2516751898336
nz-2050_hp-01,E07000203,2025,603.0308055336906
nz-2050_hp-01,E07000203,2030,629.6157064511119
nz-2050_hp-01,E07000203,2035,589.7591596824193
nz-2050_hp-01,E07000203,2040,499.4586403275181
nz-2050_hp-01,E07000203,2045,391.6887287430855
nz-2050_hp-01,E07000203,2050,407.8264315516486
nz-2050_hp-01,E07000203,2055,385.256128027519
nz-2050_hp-01,E07000203,2060,623.0956654918773
nz-2050_hp-01,E07000207,2015,473.8726639225636
nz-2050_hp-01,E07000207,2021,636.848729069519
nz-2050_hp-01,E07000207,2023,557.8492382214895
nz-2050_hp-01,E07000207,2025,494.73816806987963
nz-2050_hp-01,E07000207,2030,497.0246994136903
nz-2050_hp-01,E07000207,2035,498.2249465672933
nz-2050_hp-01,E07000207,2040,483.51828798142316
nz-2050_hp-01,E07000207,2045,458.8991451249117
nz-2050_hp-01,E07000207,2050,512.7784732099659
nz-2050_hp-01,E07000207,2055,520.2880603401724
nz-2050_hp-01,E07000207,2060,779.9399633318824
nz-2050_hp-01,E07000208,2015,457.62684103441654
nz-2050_hp-01,E07000208,2021,614.4521042163283
nz-2050_hp-01,E07000208,2023,539.6762018425452
nz-2050_hp-01,E07000208,2025,477.05615145660806
nz-2050_hp-01,E07000208,2030,475.34048124898555
nz-2050_hp-01,E07000208,2035,471.6955721392155
