REGION,TECHNOLOGY,RUN,VALUE
W06000015,SWHPSD,nz-2045_hp-01_dh-01_lp-00_h2-00_UK|LA|SO,1.1251922828930357e-10
W06000015,SWHPSD,nz-2045_hp-01_dh-01_lp-00_h2-01_UK|LA|SO,2.459796138456204e-11
W06000015,SWHPSD,nz-2045_hp-01_dh-01_lp-01_h2-00_UK|LA|SO,1.241054687128617e-10
W06000015,SWHPSD,nz-2045_hp-01_dh-01_lp-01_h2-01_UK|LA|SO,1.7635491990537308e-10
W06000015,SWHPSD,nz-2050_hp-00_dh-00_lp-00_h2-01_UK|LA|SO,5.0400248817651614e-05
W06000015,SWHPSD,nz-2050_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,0.00011974993024058745
W06000015,SWHPSD,nz-2050_hp-00_dh-00_lp-01_h2-01_UK|LA|SO,7.984543333967505e-05
W06000015,SWHPSD,nz-2050_hp-00_dh-01_lp-00_h2-01_UK|LA|SO,6.062747489360984e-10
W06000015,SWHPSD,nz-2050_hp-00_dh-01_lp-01_h2-00_UK|LA|SO,1.4831102953593626e-06
W06000015,SWHPSD,nz-2050_hp-00_dh-01_lp-01_h2-01_UK|LA|SO,1.8455284908877647e-10
W06000015,SWHPSD,nz-2050_hp-01_dh-00_lp-00_h2-00_UK|LA|SO,6.996742941588678e-11
W06000015,SWHPSD,nz-2050_hp-01_dh-00_lp-00_h2-01_UK|LA|SO,2.878067609696711e-10
W06000015,SWHPSD,nz-2050_hp-01_dh-00_lp-01_h2-00_UK|LA|SO,1.9240378178833306e-11
W06000015,SWHPSD,nz-2050_hp-01_dh-00_lp-01_h2-01_UK|LA|SO,9.826854638988344e-12
W06000015,SWHPSD,nz-2050_hp-01_dh-01_lp-00_h2-00_UK|LA|SO,1.6043086553534368e-11
W06000015,SWHPSD,nz-2050_hp-01_dh-01_lp-00_h2-01_UK|LA|SO,2.343660669249034e-11
W06000015,SWHPSD,nz-2050_hp-01_dh-01_lp-01_h2-00_UK|LA|SO,7.214109258475982e-11
W06000015,SWHPSD,nz-2050_hp-01_dh-01_lp-01_h2-01_UK|LA|SO,2.0797671416502514e-11
W06000016,BMBOSD,nz-2045_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,1.2422915212367658e-06
W06000016,BMBOSD,nz-2045_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,2.2650976384982106e-06
W06000016,BMBOSD,nz-2045_hp-00_dh-00_lp-01_h2-01_UK|LA|SO,1.1091083370899884e-05
W06000016,BMBOSD,nz-2045_hp-00_dh-01_lp-01_h2-00_UK|LA|SO,3.859415550757361e-12
W06000016,BMBOSD,nz-2045_hp-00_dh-01_lp-01_h2-01_UK|LA|SO,2.144437312468788e-06
W06000016,BMBOSD,nz-2045_hp-01_dh-00_lp-00_h2-00_UK|LA|SO,0.0005220409155363987
W06000016,BMBOSD,nz-2045_hp-01_dh-00_lp-01_h2-00_UK|LA|SO,0.0006097936765915212
W06000016,BMBOSD,nz-2045_hp-01_dh-00_lp-01_h2-01_UK|LA|SO,0.0001130839372923688
W06000016,BMBOSD,nz-2045_hp-01_dh-01_lp-00_h2-00_UK|LA|SO,2.195294235438246e-06
W06000016,BMBOSD,nz-2045_hp-01_dh-01_lp-00_h2-01_UK|LA|SO,3.9192177693108375e-06
W06000016,BMBOSD,nz-2045_hp-01_dh-01_lp-01_h2-00_UK|LA|SO,2.288191995527502e-06
W06000016,BMBOSD,nz-2045_hp-01_dh-01_lp-01_h2-01_UK|LA|SO,3.423260094801247e-06
W06000016,BMBOSD,nz-2050_hp-00_dh-00_lp-00_h2-01_UK|LA|SO,5.3706901025940555e-06
W06000016,BMBOSD,nz-2050_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,4.1541956418449684e-06
W06000016,BMBOSD,nz-2050_hp-00_dh-00_lp-01_h2-01_UK|LA|SO,1.2260465059191204e-05
W06000016,BMBOSD,nz-2050_hp-00_dh-01_lp-00_h2-01_UK|LA|SO,1.5059989294132827e-06
W06000016,BMBOSD,nz-2050_hp-00_dh-01_lp-01_h2-00_UK|LA|SO,9.900319627663876e-12
W06000016,BMBOSD,nz-2050_hp-00_dh-01_lp-01_h2-01_UK|LA|SO,1.4927706374593847e-06
W06000016,BMBOSD,nz-2050_hp-01_dh-00_lp-00_h2-00_UK|LA|SO,0.00043824721610129084
W06000016,BMBOSD,nz-2050_hp-01_dh-00_lp-00_h2-01_UK|LA|SO,6.0280290618183116e-05
W06000016,BMBOSD,nz-2050_hp-01_dh-00_lp-01_h2-00_UK|LA|SO,0.000683985558817925
W06000016,BMBOSD,nz-2050_hp-01_dh-00_lp-01_h2-01_UK|LA|SO,7.989301405981752e-05
W06000016,BMBOSD,nz-2050_hp-01_dh-01_lp-00_h2-00_UK|LA|SO,8.223021937613611e-07
W06000016,BMBOSD,nz-2050_hp-01_dh-01_lp-00_h2-01_UK|LA|SO,1.6733568778873677e-06
W06000016,BMBOSD,nz-2050_hp-01_dh-01_lp-01_h2-00_UK|LA|SO,1.1415230887674346e-06
W06000016,BMBOSD,nz-2050_hp-01_dh-01_lp-01_h2-01_UK|LA|SO,1.4186600881154706e-06
W06000016,NGBOSD,nz-2045_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,1.3243000908297927e-06
W06000016,NGBOSD,nz-2045_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,3.5461774441196514e-06
W06000016,NGBOSD,nz-2045_hp-00_dh-00_lp-01_h2-01_UK|LA|SO,3.7373961889482417e-06
W06000016,NGBOSD,nz-2045_hp-00_dh-01_lp-01_h2-00_UK|LA|SO,8.877680680688661e-07
W06000016,NGBOSD,nz-2045_hp-00_dh-01_lp-01_h2-01_UK|LA|SO,1.3417231951591926e-06
W06000016,NGBOSD,nz-2045_hp-01_dh-00_lp-00_h2-00_UK|LA|SO,9.740800848454258e-06
W06000016,NGBOSD,nz-2045_hp-01_dh-00_lp-01_h2-00_UK|LA|SO,1.5946049629720438e-05
W06000016,NGBOSD,nz-2045_hp-01_dh-00_lp-01_h2-01_UK|LA|SO,2.0643701798439083e-05
W06000016,NGBOSD,nz-2045_hp-01_dh-01_lp-00_h2-00_UK|LA|SO,6.744304691932575e-07
W06000016,NGBOSD,nz-2045_hp-01_dh-01_lp-00_h2-01_UK|LA|SO,7.730046196253057e-07
W06000016,NGBOSD,nz-2045_hp-01_dh-01_lp-01_h2-00_UK|LA|SO,1.2779073338718467e-06
W06000016,NGBOSD,nz-2045_hp-01_dh-01_lp-01_h2-01_UK|LA|SO,9.769187002252277e-07
W06000016,NGBOSD,nz-2050_hp-00_dh-00_lp-00_h2-01_UK|LA|SO,3.4429615026151075e-06
W06000016,NGBOSD,nz-2050_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,1.0076353928928802e-05
W06000016,NGBOSD,nz-2050_hp-00_dh-00_lp-01_h2-01_UK|LA|SO,7.49093831419935e-06
W06000016,NGBOSD,nz-2050_hp-00_dh-01_lp-00_h2-01_UK|LA|SO,1.3947531507658549e-06
W06000016,NGBOSD,nz-2050_hp-00_dh-01_lp-01_h2-00_UK|LA|SO,8.15548702351931e-07
W06000016,NGBOSD,nz-2050_hp-00_dh-01_lp-01_h2-01_UK|LA|SO,1.1587638937202556e-06
W06000016,NGBOSD,nz-2050_hp-01_dh-00_lp-00_h2-00_UK|LA|SO,0.0001519589797221735
W06000016,NGBOSD,nz-2050_hp-01_dh-00_lp-00_h2-01_UK|LA|SO,2.474679043055401e-05
