RUN,TECHNOLOGY,YEAR,VALUE
nz-2045_hp-01_dh-00_lp-01_h2-01_UK|LA|SO,ASHP,2015,0.0
nz-2045_hp-01_dh-00_lp-01_h2-01_UK|LA|SO,ASHP,2023,0.0
nz-2045_hp-01_dh-00_lp-01_h2-01_UK|LA|SO,ASHP,2025,0.0
nz-2045_hp-01_dh-00_lp-01_h2-01_UK|LA|SO,ASHP,2030,0.16798615610274753
nz-2045_hp-01_dh-00_lp-01_h2-01_UK|LA|SO,ASHP,2035,0.18782424230483963
nz-2045_hp-01_dh-00_lp-01_h2-01_UK|LA|SO,ASHP,2040,0.24940921058892543
nz-2045_hp-01_dh-00_lp-01_h2-01_UK|LA|SO,ASHP,2045,0.2899116387534674
nz-2045_hp-01_dh-00_lp-01_h2-01_UK|LA|SO,ASHP,2050,0.3158423018340322
nz-2045_hp-01_dh-00_lp-01_h2-01_UK|LA|SO,ASHP,2055,0.3686962972979438
nz-2045_hp-01_dh-01_lp-00_h2-00_UK|LA|SO,ASHP,2015,0.0
nz-2045_hp-01_dh-01_lp-00_h2-00_UK|LA|SO,ASHP,2023,0.0
nz-2045_hp-01_dh-01_lp-00_h2-00_UK|LA|SO,ASHP,2025,0.0
nz-2045_hp-01_dh-01_lp-00_h2-00_UK|LA|SO,ASHP,2030,0.058134796025928095
nz-2045_hp-01_dh-01_lp-00_h2-00_UK|LA|SO,ASHP,2035,0.2146607283329756
nz-2045_hp-01_dh-01_lp-00_h2-00_UK|LA|SO,ASHP,2040,0.2542909808993582
nz-2045_hp-01_dh-01_lp-00_h2-00_UK|LA|SO,ASHP,2045,0.2781966274808843
nz-2045_hp-01_dh-01_lp-00_h2-00_UK|LA|SO,ASHP,2050,0.33394990517400547
nz-2045_hp-01_dh-01_lp-00_h2-00_UK|LA|SO,ASHP,2055,0.3698700542804797
nz-2045_hp-01_dh-01_lp-00_h2-01_UK|LA|SO,ASHP,2015,0.0
nz-2045_hp-01_dh-01_lp-00_h2-01_UK|LA|SO,ASHP,2023,0.0
nz-2045_hp-01_dh-01_lp-00_h2-01_UK|LA|SO,ASHP,2025,0.0
nz-2045_hp-01_dh-01_lp-00_h2-01_UK|LA|SO,ASHP,2030,0.06428359130793482
nz-2045_hp-01_dh-01_lp-00_h2-01_UK|LA|SO,ASHP,2035,0.21465812657569236
nz-2045_hp-01_dh-01_lp-00_h2-01_UK|LA|SO,ASHP,2040,0.2551434718421272
nz-2045_hp-01_dh-01_lp-00_h2-01_UK|LA|SO,ASHP,2045,0.28520406146917626
nz-2045_hp-01_dh-01_lp-00_h2-01_UK|LA|SO,ASHP,2050,0.3325961516063855
nz-2045_hp-01_dh-01_lp-00_h2-01_UK|LA|SO,ASHP,2055,0.3700763127143849
nz-2045_hp-01_dh-01_lp-01_h2-00_UK|LA|SO,ASHP,2015,0.0
nz-2045_hp-01_dh-01_lp-01_h2-00_UK|LA|SO,ASHP,2023,0.0
nz-2045_hp-01_dh-01_lp-01_h2-00_UK|LA|SO,ASHP,2025,0.0
nz-2045_hp-01_dh-01_lp-01_h2-00_UK|LA|SO,ASHP,2030,0.16737117236584373
nz-2045_hp-01_dh-01_lp-01_h2-00_UK|LA|SO,ASHP,2035,0.17660187794155055
nz-2045_hp-01_dh-01_lp-01_h2-00_UK|LA|SO,ASHP,2040,0.25342542648887617
nz-2045_hp-01_dh-01_lp-01_h2-00_UK|LA|SO,ASHP,2045,0.28464043086427165
nz-2045_hp-01_dh-01_lp-01_h2-00_UK|LA|SO,ASHP,2050,0.33290059585711984
nz-2045_hp-01_dh-01_lp-01_h2-00_UK|LA|SO,ASHP,2055,0.36834355780746997
nz-2045_hp-01_dh-01_lp-01_h2-01_UK|LA|SO,ASHP,2015,0.0
nz-2045_hp-01_dh-01_lp-01_h2-01_UK|LA|SO,ASHP,2023,0.0
nz-2045_hp-01_dh-01_lp-01_h2-01_UK|LA|SO,ASHP,2025,0.0
nz-2045_hp-01_dh-01_lp-01_h2-01_UK|LA|SO,ASHP,2030,0.16787802352862172
nz-2045_hp-01_dh-01_lp-01_h2-01_UK|LA|SO,ASHP,2035,0.16586321214705396
nz-2045_hp-01_dh-01_lp-01_h2-01_UK|LA|SO,ASHP,2040,0.24775537987296684
nz-2045_hp-01_dh-01_lp-01_h2-01_UK|LA|SO,ASHP,2045,0.29061757649947734
nz-2045_hp-01_dh-01_lp-01_h2-01_UK|LA|SO,ASHP,2050,0.3301758575243195
nz-2045_hp-01_dh-01_lp-01_h2-01_UK|LA|SO,ASHP,2055,0.372009754317066
nz-2050_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,ASHP,2015,0.0
nz-2050_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,ASHP,2023,0.014723294176478234
nz-2050_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,ASHP,2025,0.21315010830291214
nz-2050_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,ASHP,2030,0.3756127628440559
nz-2050_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,ASHP,2035,1.1054629169638321
nz-2050_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,ASHP,2040,1.4756871881159943
nz-2050_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,ASHP,2045,0.9127624498004769
nz-2050_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,ASHP,2050,1.1636381664513347
nz-2050_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,ASHP,2055,1.4961264365876803
nz-2050_hp-00_dh-00_lp-00_h2-01_UK|LA|SO,ASHP,2015,0.0
nz-2050_hp-00_dh-00_lp-00_h2-01_UK|LA|SO,ASHP,2023,8.722225985659381e-09
nz-2050_hp-00_dh-00_lp-00_h2-01_UK|LA|SO,ASHP,2025,0.202456129817295
nz-2050_hp-00_dh-00_lp-00_h2-01_UK|LA|SO,ASHP,2030,0.6005472595693436
nz-2050_hp-00_dh-00_lp-00_h2-01_UK|LA|SO,ASHP,2035,1.1068158909933485
nz-2050_hp-00_dh-00_lp-00_h2-01_UK|LA|SO,ASHP,2040,1.3713576141237127
nz-2050_hp-00_dh-00_lp-00_h2-01_UK|LA|SO,ASHP,2045,0.8200632519059592
nz-2050_hp-00_dh-00_lp-00_h2-01_UK|LA|SO,ASHP,2050,1.1105202730080328
nz-2050_hp-00_dh-00_lp-00_h2-01_UK|LA|SO,ASHP,2055,1.3956532831582291
nz-2050_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,ASHP,2015,0.0
nz-2050_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,ASHP,2023,0.26744843643408844
nz-2050_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,ASHP,2025,0.2902615976491211
nz-2050_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,ASHP,2030,0.6732758916327555
nz-2050_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,ASHP,2035,1.0036309163416466
nz-2050_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,ASHP,2040,1.4566402255851267
nz-2050_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,ASHP,2045,1.0728294141589292
nz-2050_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,ASHP,2050,1.0541004173307917
nz-2050_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,ASHP,2055,1.474554453343687
nz-2050_hp-00_dh-00_lp-01_h2-01_UK|LA|SO,ASHP,2015,0.0
nz-2050_hp-00_dh-00_lp-01_h2-01_UK|LA|SO,ASHP,2023,0.27715570788329297
nz-2050_hp-00_dh-00_lp-01_h2-01_UK|LA|SO,ASHP,2025,0.3244444020013861
nz-2050_hp-00_dh-00_lp-01_h2-01_UK|LA|SO,ASHP,2030,0.613500700190457
nz-2050_hp-00_dh-00_lp-01_h2-01_UK|LA|SO,ASHP,2035,0.8757577752895881
