REGION,PROPERTY_TYPE,YEAR,VALUE
E06000005,Terraced,2025,16775.2
E06000005,Terraced,2030,17007.4
E06000005,Terraced,2035,17234.6
E06000005,Terraced,2040,17411.2
E06000005,Terraced,2045,17570.0
E06000005,Terraced,2050,17732.6
E06000005,Terraced,2055,17898.2
E06000005,Terraced,2060,17994.0
E06000006,Detached,2015,8566.5
E06000006,Detached,2021,9024.0
E06000006,Detached,2023,9146.0
E06000006,Detached,2025,9335.2
E06000006,Detached,2030,9595.4
E06000006,Detached,2035,9813.6
E06000006,Detached,2040,10000.8
E06000006,Detached,2045,10178.0
E06000006,Detached,2050,10363.2
E06000006,Detached,2055,10555.8
E06000006,Detached,2060,10660.0
E06000006,Flats,2015,6529.833333333333
E06000006,Flats,2021,6991.0
E06000006,Flats,2023,7078.0
E06000006,Flats,2025,7230.0
E06000006,Flats,2030,7425.0
E06000006,Flats,2035,7595.8
E06000006,Flats,2040,7738.0
E06000006,Flats,2045,7877.0
E06000006,Flats,2050,8022.0
E06000006,Flats,2055,8165.8
E06000006,Flats,2060,8248.0
E06000006,Semi-detached,2015,20314.0
E06000006,Semi-detached,2021,20987.5
E06000006,Semi-detached,2023,21236.0
E06000006,Semi-detached,2025,21689.0
E06000006,Semi-detached,2030,22279.8
E06000006,Semi-detached,2035,22792.6
E06000006,Semi-detached,2040,23229.8
E06000006,Semi-detached,2045,23645.4
E06000006,Semi-detached,2050,24074.8
E06000006,Semi-detached,2055,24508.4
E06000006,Semi-detached,2060,24772.0
E06000006,Terraced,2015,21236.166666666668
E06000006,Terraced,2021,21530.5
E06000006,Terraced,2023,21797.5
E06000006,Terraced,2025,22260.0
E06000006,Terraced,2030,22864.6
E06000006,Terraced,2035,23393.0
E06000006,Terraced,2040,23837.6
E06000006,Terraced,2045,24263.8
E06000006,Terraced,2050,24705.4
E06000006,Terraced,2055,25153.4
E06000006,Terraced,2060,25420.0
E06000007,Detached,2015,17351.0
E06000007,Detached,2021,17885.0
E06000007,Detached,2023,18068.5
E06000007,Detached,2025,18332.8
E06000007,Detached,2030,18687.2
E06000007,Detached,2035,19054.8
E06000007,Detached,2040,19400.8
E06000007,Detached,2045,19745.4
E06000007,Detached,2050,20098.8
E06000007,Detached,2055,20462.6
E06000007,Detached,2060,20675.0
E06000007,Flats,2015,11458.166666666666
E06000007,Flats,2021,11841.5
E06000007,Flats,2023,11963.5
E06000007,Flats,2025,12137.6
E06000007,Flats,2030,12380.4
E06000007,Flats,2035,12619.8
E06000007,Flats,2040,12854.4
E06000007,Flats,2045,13076.2
E06000007,Flats,2050,13306.8
E06000007,Flats,2055,13553.8
E06000007,Flats,2060,13697.0
E06000007,Semi-detached,2015,39454.666666666664
E06000007,Semi-detached,2021,40095.5
E06000007,Semi-detached,2023,40505.0
E06000007,Semi-detached,2025,41078.8
E06000007,Semi-detached,2030,41873.6
E06000007,Semi-detached,2035,42694.0
E06000007,Semi-detached,2040,43482.4
E06000007,Semi-detached,2045,44251.2
E06000007,Semi-detached,2050,45048.0
E06000007,Semi-detached,2055,45852.8
E06000007,Semi-detached,2060,46347.0
E06000007,Terraced,2015,24102.833333333332
E06000007,Terraced,2021,24494.5
E06000007,Terraced,2023,24745.5
E06000007,Terraced,2025,25098.0
E06000007,Terraced,2030,25588.2
E06000007,Terraced,2035,26089.4
E06000007,Terraced,2040,26569.6
E06000007,Terraced,2045,27042.2
E06000007,Terraced,2050,27526.4
E06000007,Terraced,2055,28019.2
E06000007,Terraced,2060,28316.0
E06000008,Detached,2015,6116.0
E06000008,Detached,2021,6480.5
E06000008,Detached,2023,6520.5
E06000008,Detached,2025,6589.2
E06000008,Detached,2030,6672.6
E06000008,Detached,2035,6760.2
E06000008,Detached,2040,6852.4
E06000008,Detached,2045,6925.2
E06000008,Detached,2050,7007.4
E06000008,Detached,2055,7080.4
E06000008,Detached,2060,7124.0
E06000008,Flats,2015,7357.0
E06000008,Flats,2021,7484.0
E06000008,Flats,2023,7534.5
E06000008,Flats,2025,7613.6
E06000008,Flats,2030,7714.6
E06000008,Flats,2035,7811.8
E06000008,Flats,2040,7911.8
E06000008,Flats,2045,7997.0
E06000008,Flats,2050,8094.8
E06000008,Flats,2055,8178.4
E06000008,Flats,2060,8235.0
E06000008,Semi-detached,2015,18006.0
E06000008,Semi-detached,2021,18196.5
E06000008,Semi-detached,2023,18317.0
E06000008,Semi-detached,2025,18494.4
E06000008,Semi-detached,2030,18739.4
E06000008,Semi-detached,2035,18976.4
E06000008,Semi-detached,2040,19198.6
E06000008,Semi-detached,2045,19418.0
E06000008,Semi-detached,2050,19638.8
E06000008,Semi-detached,2055,19862.8
E06000008,Semi-detached,2060,20000.0
E06000008,Terraced,2015,29433.666666666668
E06000008,Terraced,2021,29539.5
E06000008,Terraced,2023,29727.0
E06000008,Terraced,2025,30006.8
E06000008,Terraced,2030,30414.8
E06000008,Terraced,2035,30798.8
E06000008,Terraced,2040,31167.2
E06000008,Terraced,2045,31521.6
E06000008,Terraced,2050,31884.6
E06000008,Terraced,2055,32251.0
E06000008,Terraced,2060,32468.0
E06000009,Detached,2015,3765.5
E06000009,Detached,2021,3920.5
E06000009,Detached,2023,3919.5
E06000009,Detached,2025,3923.2
E06000009,Detached,2030,3962.4
E06000009,Detached,2035,4020.2
E06000009,Detached,2040,4072.8
E06000009,Detached,2045,4139.8
E06000009,Detached,2050,4192.0
E06000009,Detached,2055,4258.8
E06000009,Detached,2060,4298.0
E06000009,Flats,2015,18076.833333333332
E06000009,Flats,2021,18161.0
E06000009,Flats,2023,18164.5
E06000009,Flats,2025,18206.6
E06000009,Flats,2030,18357.8
E06000009,Flats,2035,18614.6
E06000009,Flats,2040,18889.8
E06000009,Flats,2045,19166.0
E06000009,Flats,2050,19441.8
E06000009,Flats,2055,19727.4
E06000009,Flats,2060,19899.0
E06000009,Semi-detached,2015,25805.0
E06000009,Semi-detached,2021,25944.5
E06000009,Semi-detached,2023,25957.5
E06000009,Semi-detached,2025,26018.2
E06000009,Semi-detached,2030,26231.2
E06000009,Semi-detached,2035,26597.6
E06000009,Semi-detached,2040,26995.0
E06000009,Semi-detached,2045,27386.0
E06000009,Semi-detached,2050,27781.2
E06000009,Semi-detached,2055,28187.8
E06000009,Semi-detached,2060,28435.0
E06000009,Terraced,2015,23634.833333333332
E06000009,Terraced,2021,23764.5
E06000009,Terraced,2023,23780.5
E06000009,Terraced,2025,23833.4
E06000009,Terraced,2030,24027.2
E06000009,Terraced,2035,24360.8
E06000009,Terraced,2040,24728.0
E06000009,Terraced,2045,25088.8
E06000009,Terraced,2050,25451.0
E06000009,Terraced,2055,25823.2
E06000009,Terraced,2060,26051.0
E06000010,Detached,2015,5549.5
E06000010,Detached,2021,5812.5
E06000010,Detached,2023,5819.5
E06000010,Detached,2025,5843.2
E06000010,Detached,2030,5892.6
E06000010,Detached,2035,5964.0
E06000010,Detached,2040,6016.0
E06000010,Detached,2045,6031.6
E06000010,Detached,2050,6064.8
E06000010,Detached,2055,6112.4
E06000010,Detached,2060,6126.0
E06000010,Flats,2015,19815.5
E06000010,Flats,2021,20919.5
E06000010,Flats,2023,20949.5
E06000010,Flats,2025,21026.0
E06000010,Flats,2030,21214.2
E06000010,Flats,2035,21424.0
E06000010,Flats,2040,21588.6
E06000010,Flats,2045,21733.6
E06000010,Flats,2050,21868.4
E06000010,Flats,2055,22028.8
E06000010,Flats,2060,22101.0
E06000010,Semi-detached,2015,29960.5
E06000010,Semi-detached,2021,30517.5
E06000010,Semi-detached,2023,30568.5
E06000010,Semi-detached,2025,30676.6
E06000010,Semi-detached,2030,30950.0
E06000010,Semi-detached,2035,31265.4
E06000010,Semi-detached,2040,31506.2
E06000010,Semi-detached,2045,31711.2
E06000010,Semi-detached,2050,31915.6
E06000010,Semi-detached,2055,32130.4
E06000010,Semi-detached,2060,32256.0
E06000010,Terraced,2015,65006.666666666664
E06000010,Terraced,2021,65334.0
E06000010,Terraced,2023,65419.5
E06000010,Terraced,2025,65664.4
E06000010,Terraced,2030,66241.4
E06000010,Terraced,2035,66913.0
E06000010,Terraced,2040,67418.8
E06000010,Terraced,2045,67855.0
E06000010,Terraced,2050,68305.0
E06000010,Terraced,2055,68758.4
E06000010,Terraced,2060,69033.0
E06000011,Detached,2015,35219.0
E06000011,Detached,2021,36931.5
E06000011,Detached,2023,37420.0
E06000011,Detached,2025,38163.8
E06000011,Detached,2030,39112.8
E06000011,Detached,2035,39907.2
E06000011,Detached,2040,40590.2
E06000011,Detached,2045,41264.0
E06000011,Detached,2050,41947.4
E06000011,Detached,2055,42638.4
E06000011,Detached,2060,43073.0
E06000011,Flats,2015,15143.333333333334
E06000011,Flats,2021,15518.0
E06000011,Flats,2023,15735.0
E06000011,Flats,2025,16060.2
E06000011,Flats,2030,16475.8
E06000011,Flats,2035,16802.8
E06000011,Flats,2040,17074.8
E06000011,Flats,2045,17345.8
E06000011,Flats,2050,17651.8
E06000011,Flats,2055,17943.6
E06000011,Flats,2060,18132.0
E06000011,Semi-detached,2015,71462.5
E06000011,Semi-detached,2021,72962.5
E06000011,Semi-detached,2023,73894.0
E06000011,Semi-detached,2025,75405.0
E06000011,Semi-detached,2030,77301.2
E06000011,Semi-detached,2035,78863.2
E06000011,Semi-detached,2040,80216.0
E06000011,Semi-detached,2045,81541.2
E06000011,Semi-detached,2050,82885.2
E06000011,Semi-detached,2055,84265.2
E06000011,Semi-detached,2060,85097.0
E06000011,Terraced,2015,32538.5
E06000011,Terraced,2021,33389.5
E06000011,Terraced,2023,33835.0
E06000011,Terraced,2025,34513.0
E06000011,Terraced,2030,35373.6
E06000011,Terraced,2035,36081.6
E06000011,Terraced,2040,36704.0
E06000011,Terraced,2045,37299.8
E06000011,Terraced,2050,37923.4
E06000011,Terraced,2055,38546.2
E06000011,Terraced,2060,38943.0
E06000012,Detached,2015,9048.166666666666
E06000012,Detached,2021,9328.5
E06000012,Detached,2023,9363.5
E06000012,Detached,2025,9423.8
E06000012,Detached,2030,9525.8
E06000012,Detached,2035,9634.8
E06000012,Detached,2040,9737.8
E06000012,Detached,2045,9820.6
E06000012,Detached,2050,9910.0
E06000012,Detached,2055,9997.2
E06000012,Detached,2060,10052.0
