YEAR,RUN,TECHNOLOGY,VALUE
2030,nz-2045_hp-00,Air-source HP,394108.7794941157
2030,nz-2045_hp-00,Ground-source HP,764.1761286899205
2030,nz-2045_hp-00,H2 boiler,0.01683757483050741
2030,nz-2045_hp-00,Building retrofit,82850.58131705869
2030,nz-2045_hp-01,Gas boiler,759120.6613935311
2030,nz-2045_hp-01,Oil boiler,48163.876356228226
2030,nz-2045_hp-01,Electric storage heater,9373.816194163426
2030,nz-2045_hp-01,Electric resistance heater,89931.14652954321
2030,nz-2045_hp-01,Biomass boiler,3057.4252969243794
2030,nz-2045_hp-01,Heat interface unit,138530.85668017963
2030,nz-2045_hp-01,Air-source HP,494711.7023239726
2030,nz-2045_hp-01,Ground-source HP,17175.77946493468
2030,nz-2045_hp-01,H2 boiler,476.31472416326585
2030,nz-2045_hp-01,Building retrofit,93117.24288757208
2030,nz-2050_hp-00,Gas boiler,1123419.4538927574
2030,nz-2050_hp-00,Oil boiler,86924.5105006096
2030,nz-2050_hp-00,Electric storage heater,10015.883565485074
2030,nz-2050_hp-00,Electric resistance heater,93381.40310158138
2030,nz-2050_hp-00,Biomass boiler,2487.4239388236792
2030,nz-2050_hp-00,Heat interface unit,223508.45977137974
2030,nz-2050_hp-00,Air-source HP,29831.28580881079
2030,nz-2050_hp-00,Ground-source HP,764.1668406055512
2030,nz-2050_hp-00,H2 boiler,0.03044509170932961
2030,nz-2050_hp-00,Building retrofit,83326.19439294652
2030,nz-2050_hp-01,Gas boiler,1111497.2901194952
2030,nz-2050_hp-01,Oil boiler,30595.36873974092
2030,nz-2050_hp-01,Electric storage heater,10191.263573885271
2030,nz-2050_hp-01,Electric resistance heater,131816.91865931288
2030,nz-2050_hp-01,Biomass boiler,1671.7838968108326
2030,nz-2050_hp-01,Heat interface unit,211454.72100351483
2030,nz-2050_hp-01,Air-source HP,52260.15291996226
2030,nz-2050_hp-01,Ground-source HP,764.1748211025582
2030,nz-2050_hp-01,H2 boiler,0.016725725212045964
2030,nz-2050_hp-01,Building retrofit,103407.13673052196
2035,nz-2040_hp-00,Gas boiler,746691.6519132283
