,RUN,REGION,EMISSION,VALUE
425,HP,E07000038,CD,2045
426,HP,E07000039,CD,2045
427,HP,E07000040,CD,2045
428,HP,E07000041,CD,2050
429,HP,E07000042,CD,2045
430,HP,E07000043,CD,2045
431,HP,E07000044,CD,2045
432,HP,E07000045,CD,2045
433,HP,E07000046,CD,2045
434,HP,E07000047,CD,2045
435,HP,E07000061,CD,2050
436,HP,E07000062,CD,2050
437,HP,E07000063,CD,2045
438,HP,E07000064,CD,2045
439,HP,E07000065,CD,2045
440,HP,E07000066,CD,2050
441,HP,E07000067,CD,2045
442,HP,E07000068,CD,2050
443,HP,E07000069,CD,2050
444,HP,E07000070,CD,2050
445,HP,E07000071,CD,2050
446,HP,E07000072,CD,2045
447,HP,E07000073,CD,2050
448,HP,E07000074,CD,2045
449,HP,E07000075,CD,2045
450,HP,E07000076,CD,2045
451,HP,E07000077,CD,2045
452,HP,E07000078,CD,2050
453,HP,E07000079,CD,2045
454,HP,E07000080,CD,2045
455,HP,E07000081,CD,2050
456,HP,E07000082,CD,2045
457,HP,E07000083,CD,2045
458,HP,E07000084,CD,2045
459,HP,E07000085,CD,2045
460,HP,E07000086,CD,2050
461,HP,E07000087,CD,2045
462,HP,E07000088,CD,2045
463,HP,E07000089,CD,2045
464,HP,E07000090,CD,2050
465,HP,E07000091,CD,2045
466,HP,E07000092,CD,2050
467,HP,E07000093,CD,2045
468,HP,E07000094,CD,2045
469,HP,E07000095,CD,2050
470,HP,E07000096,CD,2050
471,HP,E07000098,CD,2050
472,HP,E07000099,CD,2045
473,HP,E07000102,CD,2050
474,HP,E07000103,CD,2050
475,HP,E07000105,CD,2045
476,HP,E07000106,CD,2050
477,HP,E07000107,CD,2050
478,HP,E07000108,CD,2045
479,HP,E07000109,CD,2050
480,HP,E07000110,CD,2050
481,HP,E07000111,CD,2045
482,HP,E07000112,CD,2045
483,HP,E07000113,CD,2045
484,HP,E07000114,CD,2050
485,HP,E07000115,CD,2045
486,HP,E07000116,CD,2050
487,HP,E07000117,CD,2050
488,HP,E07000118,CD,2045
489,HP,E07000119,CD,2045
490,HP,E07000120,CD,2050
491,HP,E07000121,CD,2045
492,HP,E07000122,CD,2045
493,HP,E07000123,CD,2050
494,HP,E07000124,CD,2045
495,HP,E07000125,CD,2045
496,HP,E07000126,CD,2045
497,HP,E07000127,CD,2045
498,HP,E07000128,CD,2045
499,HP,E07000129,CD,2050
500,HP,E07000130,CD,2050
501,HP,E07000131,CD,2050
502,HP,E07000132,CD,2045
503,HP,E07000133,CD,2045
504,HP,E07000134,CD,2045
505,HP,E07000135,CD,2050
506,HP,E07000136,CD,2045
507,HP,E07000137,CD,2045
508,HP,E07000138,CD,2050
509,HP,E07000139,CD,2045
510,HP,E07000140,CD,2045
511,HP,E07000141,CD,2045
512,HP,E07000142,CD,2045
513,HP,E07000143,CD,2045
514,HP,E07000144,CD,2045
515,HP,E07000145,CD,2045
516,HP,E07000146,CD,2045
517,HP,E07000147,CD,2045
518,HP,E07000148,CD,2050
519,HP,E07000149,CD,2045
520,HP,E07000170,CD,2050
521,HP,E07000171,CD,2045
522,HP,E07000172,CD,2050
523,HP,E07000173,CD,2050
524,HP,E07000174,CD,2050
525,HP,E07000175,CD,2045
526,HP,E07000176,CD,2045
527,HP,E07000177,CD,2045
528,HP,E07000178,CD,2050
529,HP,E07000179,CD,2045
