REGION,TECHNOLOGY,RUN,VALUE
E06000011,Building Heat Eff.,nz-2050_hp-00,9.273423092681606
E06000011,Building Heat Eff.,nz-2050_hp-01,18.319634306774567
E06000011,Building Heat Gen.,nz-2040_hp-00,528.3568443729563
E06000011,Building Heat Gen.,nz-2040_hp-01,498.52531224548585
E06000011,Building Heat Gen.,nz-2045_hp-00,521.6038601372203
E06000011,Building Heat Gen.,nz-2045_hp-01,504.92101685253317
E06000011,Building Heat Gen.,nz-2050_hp-00,353.06344795331904
E06000011,Building Heat Gen.,nz-2050_hp-01,412.9506374644118
E06000011,DH systems,nz-2040_hp-00,0.6953014353838968
E06000011,DH systems,nz-2040_hp-01,6.414833338671861
E06000011,DH systems,nz-2045_hp-00,8.996272420000496
E06000011,DH systems,nz-2045_hp-01,9.100036735538575
E06000011,DH systems,nz-2050_hp-00,6.171025214169433
E06000011,DH systems,nz-2050_hp-01,12.045913284931697
E06000011,Others,nz-2040_hp-00,0.01329763027118965
E06000011,Others,nz-2040_hp-01,0.013297280390975342
E06000011,Others,nz-2045_hp-00,0.013297243614179582
E06000011,Others,nz-2045_hp-01,0.013297254645674973
E06000011,Others,nz-2050_hp-00,0.013297095601406492
E06000011,Others,nz-2050_hp-01,0.013297320928842
E06000011,Supply,nz-2040_hp-00,2.238342917864532
E06000011,Supply,nz-2040_hp-01,1.9593432357369875
E06000011,Supply,nz-2045_hp-00,2.2404469656009574
