TECHNOLOGY,RUN,YEAR,VALUE
Building retrofit,nz-2040_hp-00,2045,0.548558850122533
Building retrofit,nz-2040_hp-00,2050,0.5572502504325973
Building retrofit,nz-2040_hp-00,2055,0.5510849637753649
Building retrofit,nz-2040_hp-01,2015,0.0
Building retrofit,nz-2040_hp-01,2023,0.04275943302527486
Building retrofit,nz-2040_hp-01,2025,0.1514127046909361
Building retrofit,nz-2040_hp-01,2030,0.3411380636261125
Building retrofit,nz-2040_hp-01,2035,0.3994444453684281
Building retrofit,nz-2040_hp-01,2040,0.4512341522118679
Building retrofit,nz-2040_hp-01,2045,0.5353341758983812
Building retrofit,nz-2040_hp-01,2050,0.5450358800053842
Building retrofit,nz-2040_hp-01,2055,0.5478549198871487
Building retrofit,nz-2045_hp-00,2015,0.0
Building retrofit,nz-2045_hp-00,2023,0.043773692836047734
Building retrofit,nz-2045_hp-00,2025,0.15554089270696003
Building retrofit,nz-2045_hp-00,2030,0.35699643161933375
Building retrofit,nz-2045_hp-00,2035,0.390059073916555
Building retrofit,nz-2045_hp-00,2040,0.43974190644993066
Building retrofit,nz-2045_hp-00,2045,0.519631504396504
Building retrofit,nz-2045_hp-00,2050,0.5399484058088878
Building retrofit,nz-2045_hp-00,2055,0.5381820371273189
Building retrofit,nz-2045_hp-01,2015,0.0
Building retrofit,nz-2045_hp-01,2023,0.04902735155298987
Building retrofit,nz-2045_hp-01,2025,0.1829260237765809
Building retrofit,nz-2045_hp-01,2030,0.4332266767574895
Building retrofit,nz-2045_hp-01,2035,0.46345518325172946
Building retrofit,nz-2045_hp-01,2040,0.4890612730475092
Building retrofit,nz-2045_hp-01,2045,0.5459456684743261
Building retrofit,nz-2045_hp-01,2050,0.5571247646146767
Building retrofit,nz-2045_hp-01,2055,0.5529447879311405
Building retrofit,nz-2050_hp-00,2015,0.0
Building retrofit,nz-2050_hp-00,2023,0.04204972363220056
Building retrofit,nz-2050_hp-00,2025,0.1514542060394377
Building retrofit,nz-2050_hp-00,2030,0.359816266048833
Building retrofit,nz-2050_hp-00,2035,0.3885582866380722
Building retrofit,nz-2050_hp-00,2040,0.3891808401143953
Building retrofit,nz-2050_hp-00,2045,0.3894242092971702
Building retrofit,nz-2050_hp-00,2050,0.3904771410843585
Building retrofit,nz-2050_hp-00,2055,0.3730405195170399
Building retrofit,nz-2050_hp-01,2015,0.0
Building retrofit,nz-2050_hp-01,2023,0.04928023703606256
Building retrofit,nz-2050_hp-01,2025,0.21143441476841088
Building retrofit,nz-2050_hp-01,2030,0.5099775020445821
Building retrofit,nz-2050_hp-01,2035,0.6130047633226698
Building retrofit,nz-2050_hp-01,2040,0.6311976021931879
Building retrofit,nz-2050_hp-01,2045,0.6507385906018732
Building retrofit,nz-2050_hp-01,2050,0.657632447319799
Building retrofit,nz-2050_hp-01,2055,0.64033018138435
